ulan_id,profession_type,count
http://vocab.getty.edu/aat/300025474,politicians,166
http://vocab.getty.edu/aat/300025773,popes,131
http://vocab.getty.edu/aat/300386311,porcelain makers,7
http://vocab.getty.edu/aat/300386310,porcelain painters,20
http://vocab.getty.edu/aat/300025414,potters,69
http://vocab.getty.edu/aat/300237357,preachers,2
http://vocab.getty.edu/aat/300025855,preservationists,171
http://vocab.getty.edu/aat/300025470,presidents,18
http://vocab.getty.edu/aat/300395662,pretenders,1
http://vocab.getty.edu/aat/300025774,priests,26
http://vocab.getty.edu/aat/300379278,prince-bishops,3
http://vocab.getty.edu/aat/300025482,princes (rulers),39
http://vocab.getty.edu/aat/300155241,princesses,25
http://vocab.getty.edu/aat/300025732,printers (people),157
http://vocab.getty.edu/aat/300386347,printing firms,8
http://vocab.getty.edu/aat/300025164,printmakers,12
http://vocab.getty.edu/aat/300312299,printmaking studios (organizations),6
http://vocab.getty.edu/aat/300197742,producers (managers),9
http://vocab.getty.edu/aat/300025952,professional associations,14
http://vocab.getty.edu/aat/300025533,professors (teachers),78
http://vocab.getty.edu/aat/300386364,programs (organizations),20
http://vocab.getty.edu/aat/300189023,prostitutes,1
http://vocab.getty.edu/aat/300025811,psychiatrists,4
http://vocab.getty.edu/aat/300025597,psychologists,7
http://vocab.getty.edu/aat/300026007,public institutions,1
http://vocab.getty.edu/aat/300025457,public officers,31
http://vocab.getty.edu/aat/300237376,publicists,1
http://vocab.getty.edu/aat/300025574,publishers,195
http://vocab.getty.edu/aat/300386627,publishing houses,18
http://vocab.getty.edu/aat/300386245,pyrotechnicians,3
http://vocab.getty.edu/aat/300025483,queens (people),57
http://vocab.getty.edu/aat/300025359,quiltmakers,2
http://vocab.getty.edu/aat/300025776,rabbis,1
http://vocab.getty.edu/aat/300386354,railroad builders,1
http://vocab.getty.edu/aat/300136492,ranchers (people),1
http://vocab.getty.edu/aat/300025218,real estate agents,2
http://vocab.getty.edu/aat/300025856,reformers,3
http://vocab.getty.edu/aat/300386155,relatives (familial),34
http://vocab.getty.edu/aat/300343472,religious institutions,2
http://vocab.getty.edu/aat/300386283,religious leaders,13
http://vocab.getty.edu/aat/300250831,religious orders,1
http://vocab.getty.edu/aat/300263613,repairers (ceramicists),10
http://vocab.getty.edu/aat/300264595,repositories (institutions),9245
http://vocab.getty.edu/aat/300343397,research institutes (institutions),32
http://vocab.getty.edu/aat/300025576,researchers,6
http://vocab.getty.edu/aat/300386640,restaurateurs (of restaurants),4
http://vocab.getty.edu/aat/300025821,restorers,54
http://vocab.getty.edu/aat/300025246,retailers,5
http://vocab.getty.edu/aat/300237490,revolutionaries,14
http://vocab.getty.edu/aat/300025578,rhetoricians,2
http://vocab.getty.edu/aat/300025475,rulers (people),46
http://vocab.getty.edu/aat/300025420,saddlers,2
http://vocab.getty.edu/aat/300386642,sailors (military),2
http://vocab.getty.edu/aat/300150555,saints,41
http://vocab.getty.edu/aat/300025681,scenographers,36
http://vocab.getty.edu/aat/300025579,scholars,54
